product_id,product_name,category,cost_price
1,Mission,Electronics,757.1089221391511
2,Statement,Electronics,3779.468215171997
3,Go,Electronics,3856.167771432823
4,Third,Grocery,3309.7755525667717
5,Point,Home,3842.273867338152
6,Citizen,Fashion,4237.311126404774
7,Attorney,Grocery,3087.3403654754193
8,Choose,Home,488.59333414991136
9,Up,Electronics,2463.7576578526937
10,Participant,Home,434.36420662444505
11,Discussion,Home,2067.3380036105327
12,Available,Electronics,2065.177121171857
13,Listen,Electronics,376.7487284941958
14,Across,Electronics,1776.6616431489226
15,Piece,Fashion,599.4405890170084
16,Clear,Electronics,4050.7642895456497
17,City,Fashion,4741.05572852413
18,International,Electronics,407.9665525267961
19,Management,Fashion,4777.820276093922
20,Send,Home,2636.7541667168884
21,President,Grocery,1532.8501058716759
22,None,Home,430.46727261700937
23,East,Home,2528.090126948568
24,Other,Electronics,3982.851945229206
25,New,Fashion,3550.078062470156
26,Painting,Grocery,298.6187567466701
27,Wind,Electronics,410.86408507112236
28,Within,Electronics,2044.2227490315536
29,Southern,Electronics,1511.6879455373191
30,Point,Home,1200.3023991274367
31,Amount,Fashion,1440.9722695981322
32,Local,Fashion,4027.2395793195788
33,Front,Grocery,4649.6788654776765
34,Factor,Fashion,2055.258337911454
35,Serve,Fashion,4535.24946055586
36,Expert,Electronics,1641.4037211770158
37,Without,Electronics,2408.3630824017687
38,Buy,Home,1168.8435391891985
39,Likely,Electronics,3220.3564087704276
40,Evening,Electronics,4895.956520115304
41,Itself,Electronics,3037.290825414724
42,Born,Electronics,1821.179716362067
43,Finish,Home,3256.6963576531152
44,Rather,Electronics,658.4573584036684
45,Laugh,Grocery,4448.862447313723
46,Evening,Grocery,2540.26555636019
47,Consumer,Grocery,2274.281223096228
48,These,Grocery,2950.03070284492
49,Sister,Electronics,3142.680120807542
50,Example,Grocery,405.2902408212395
51,Shake,Electronics,3428.9552450558417
52,Their,Home,1247.5618175618715
53,Really,Grocery,3584.0655309076196
54,Worry,Fashion,4121.547232201774
55,Young,Grocery,4029.5946123849753
56,Reveal,Grocery,2784.8797886690513
57,Court,Electronics,2624.840966938218
58,Technology,Grocery,757.236008630088
59,Current,Fashion,3887.9634444955213
60,Old,Electronics,1393.476433211236
61,Our,Electronics,2508.6423429488354
62,Success,Home,1457.1567599912078
63,Suggest,Home,712.4503968484811
64,Eye,Grocery,3166.310599614096
65,Various,Home,318.94357237337397
66,Get,Home,3755.7939089246897
67,Stop,Home,1622.0546365425275
68,Must,Electronics,50.66673037220234
69,Push,Electronics,2580.0892392242877
70,Wonder,Electronics,281.9169472116355
71,Plant,Home,1417.0393112134523
72,Suddenly,Electronics,3549.533612905795
73,Result,Home,360.31362702823606
74,Ability,Electronics,4204.725537162211
75,Law,Electronics,68.90861715998639
76,Successful,Fashion,1271.778152549416
77,Describe,Grocery,3717.4750779527535
78,Mr,Home,1615.5372411600686
79,Blood,Fashion,554.367320926767
80,These,Electronics,1833.157898062118
81,Rich,Home,1388.4467676034014
82,Entire,Electronics,4221.423915694747
83,Company,Grocery,1601.0721920464584
84,Last,Fashion,3955.215735291236
85,Language,Grocery,4464.767116813137
86,Material,Fashion,2197.396226903821
87,His,Electronics,4554.218562079241
88,Politics,Grocery,1917.7243671178046
89,Civil,Grocery,4822.188161626035
90,Up,Electronics,491.983146401586
91,Truth,Grocery,3450.7453691910514
92,Network,Home,2494.379500261797
93,Skill,Fashion,1968.861587005453
94,Serious,Fashion,3181.9237998055746
95,Image,Fashion,3534.0926035899392
96,Offer,Home,71.59818476902998
97,By,Fashion,876.4177892986337
98,Last,Electronics,3579.5779506398776
99,Get,Grocery,3348.607797212122
100,Record,Home,4831.935150386952
101,Decision,Fashion,3817.137061741376
102,Total,Electronics,4756.324903270123
103,Provide,Grocery,3527.5754825972945
104,West,Grocery,1525.3584327652436
105,Thus,Home,571.5563651417395
